CODE,시설 이름,이용가능시간,이용료,기타
A113,첨단체육시설 게이트볼장,각 종목별 연합회에 사전 문의 후 사용가능,,
A114,치평게이트볼장,,,
A115,테이크의 스킨스쿠버,,,http://www.gotaketeam.com/
A116,풍암게이트볼장,,,
A117,풍암생활체육공원 농구장,,,
A118,풍암생활체육공원 배구장,,,
A119,풍암생활체육공원 정구장,,,
A120,풍암생활체육공원 족구장,,,
A121,"풍영 체육시설단지
축구장",,,
A122,"풍영체육시설단지 
정구장",,,
A123,하남스포츠파크 축구장,,,
A124,홀스앤팜 승마클럽,월요일 휴무,,
